127.0.0.1 - - [02/Jan/2023:06:24:53 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:53 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /GetAdminCtrl.do HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /assets/images/logo-mini.svg HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:19 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:21 +0900] "GET /UserLogoutCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:21 +0900] "GET / HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:21 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:21 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:21 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:23 +0900] "POST /UserLoginCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:23 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:23 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:23 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:23 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:25 +0900] "GET /GetMapCtrl.do HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:45:25 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
